"","sample_pt","prop_blueberry_250","prop_edge_250","landscape_shdi_250","prop_blueberry_500","prop_edge_500","landscape_shdi_500","prop_blueberry_750","prop_edge_750","landscape_shdi_750","prop_blueberry_1000","prop_edge_1000","landscape_shdi_1000"
"73","HR24",0.152205774214324,0.162814992874784,1.7847531188336,0.0940994207193857,0.135434485878923,2.0394594855267,0.0971270505218277,0.129368939311281,2.09775901488735,0.114402648075421,0.124063796857876,2.17312813519953
"74","HR25",NA,0.145215358321965,1.87393421623174,0.118228692057125,0.121249671149205,2.01597755821248,0.118754073783462,0.108686422832295,2.26029380920189,0.0972536234857804,0.101095261227231,2.33079466318599
"75","HR26",0.225795981296088,0.0474545841828196,1.31322603923404,0.278967147964429,0.0746475418482495,1.91393228649676,0.255204005142103,0.105906634873364,2.14175415923854,0.167740270994296,0.117624172846426,2.31118199771751
"76","HR27",0.112735552445283,0.210181748108481,2.10390402160942,0.175710745377137,0.140528690347588,2.16696528919947,0.174998713913981,0.121628122715784,2.21765993641598,0.190453907049024,0.116296721632201,2.1896848658612
"77","HR28",0.04395693559102,0.123939490752714,2.18704901824488,0.153591269765615,0.158891333442639,2.27574100736445,0.211369387215163,0.126195370251025,2.14801048495418,0.149564311702838,0.107490352059558,2.08367850299676
"78","HR29",0.0383558170199817,0.138873110863171,1.87237671630998,0.0249285441043961,0.103087123450624,2.05668249693728,0.0110889313639527,0.0605546670465679,1.941447911291,0.00624006250560699,0.044424536759265,1.76923961699611
"79","HR31",0.00768321812732335,0.0948864760146666,1.7622648300886,0.0896400621204843,0.0660576622465553,2.02485505951795,0.102264003319573,0.059628515316281,2.0541089152424,0.0602243596473312,0.0673241189484072,2.13969469388956
"80","HR32",0.0420930916615107,0.106546236471889,1.62142699937648,0.0712942181236798,0.0698720702355504,1.80663137892522,0.0795149786987708,0.0571113769367837,1.90994165206898,0.0958092728276831,0.087892528751721,2.11746627689169
"81","HR33",0.193286643778304,0.247544234211848,1.81551466644632,0.265319247370321,0.140220745613812,1.81136799904796,0.220898673014879,0.136975188493168,1.93564305487983,0.205453566205628,0.149352089179557,2.08858130763706
"82","HR34",NA,0.123927376001623,1.75948091336252,NA,0.108033501518752,1.8487041588361,0.0144069573987089,0.139023605702182,2.02913996080331,0.0268863571365629,0.125580372921116,2.07836860266001
"83","HR35",NA,0.0162967396376473,0.344151932188903,NA,0.0091690996005201,0.570034749126035,0.0061021973903128,0.078900609484807,1.44059689061057,0.0577125089155793,0.0985756069751802,2.09203082840978
"84","HR36",NA,0.264156397383234,1.59189160542492,NA,0.177540090640815,1.93070130308827,0.0105158427315639,0.12812289776421,2.07226671445014,0.0300129859140054,0.102243235522233,2.14964910968189
"85","NR01",NA,0.145433429859572,1.64904518357538,NA,0.133002121231763,1.75992579429982,0.0550768143594092,0.130105292912162,2.10112289042769,0.0928054789221325,0.123784752267614,2.3034576587309
"86","NR02",NA,0.0724032839590063,1.48150805988657,0.0348435067204728,0.0769838899304121,1.94975868907174,0.0469904855587402,0.0986109933348032,2.11954401551319,0.0560915646644584,0.10413991746506,2.1739930902442
"87","NR03",0.415727829320131,0.209509944658899,1.37538807440428,0.424619283533679,0.143658030060777,1.58805594092197,0.408139210150523,0.130257663828358,1.78770683828443,0.377134187756032,0.120416401429149,1.8156175366469
"88","NR03A",0.531478250284045,0.15322695179354,1.1962003285144,0.435758507045726,0.137448540841318,1.47261084015419,0.397616366366366,0.122565147979305,1.70602674296237,0.342180199422722,0.1152453113264,1.94623647790381
"89","NR04A",0.547278416496351,0.159227722471004,1.18269184672673,0.585346542203356,0.102905909041806,1.11414270973644,0.573255922415718,0.0941724164247575,1.30970118533696,0.516791299993574,0.102901868513696,1.64149504738265
"90","NR05A",0.551840787945489,0.153891799503984,1.29612743578545,0.706476716535143,0.0990387682812597,1.03486058508364,0.622796042756502,0.0934268125352285,1.39320949722599,0.543401895180353,0.0940047249074393,1.59005170605849
"91","NR06A",0.386625680357514,0.0852799293899228,1.65950278214468,0.315830345488492,0.0845743321992021,1.75656495125986,0.291373460899396,0.133773629600483,1.97465196175728,0.282986094541845,0.11812958703557,2.11905243305747
"92","NR07A",0.289503843891357,0.237083916509463,1.76439756600043,0.366558725446338,0.176806702183903,2.00792799982249,0.301613225087778,0.142796170137953,2.10517803739427,0.318541305139661,0.143187121341055,2.11846016539946
"93","NR08",0.480470414021137,0.19358175953912,1.41753645777677,0.488084541231643,0.149811586927374,1.59450844129712,0.476675212201554,0.121266510453912,1.67576484677777,0.482351395450712,0.106695217556316,1.66883857054291
"94","NR08A",0.451049004244702,0.174737685547222,1.37241222374342,0.473061563763832,0.156380196086905,1.59124616236069,0.466471363736067,0.123325207645985,1.71586829330926,0.467153043172304,0.111305947322326,1.68628734285654
"95","NR08B",0.435271921327173,0.188430347262021,1.38089795808876,0.461206348722172,0.151777316841297,1.54587873831955,0.445804622784661,0.129710244888637,1.74904913834211,0.432828850484722,0.113953230167423,1.71298822529367
"96","NR09",0.516164202946322,0.188970308577804,1.24885907001166,0.472412925396579,0.131476741555613,1.36314697009093,0.501125828825401,0.108778299062874,1.5239303940527,0.504075735124298,0.0987700899830188,1.67493360819774
"97","NR10",0.968606249334341,0.0207127750756949,0.159683309625809,0.931608887171757,0.0329138505570369,0.321402817504163,0.793470905578737,0.0805833865204224,0.810351400634407,0.68462321283656,0.0825650978746661,1.20858646572218
"98","NR12",0.917234664070107,0.0522354754949692,0.339960667995583,0.867920379850439,0.0470631745370064,0.526001488921905,0.846093879403865,0.0425850896220255,0.680209175183008,0.762007696607213,0.0587568550989784,1.00935231836698
"99","NR13",0.970038440862942,0.0180083778767255,0.154760179850416,0.815689404491983,0.0791752666415869,0.716269616067597,0.699193504619852,0.0827288104164876,1.10206466403242,0.614280297029262,0.0878225892140788,1.36114689945597
"100","NR13A",0.834502274490712,0.078539660322435,0.735390665273697,0.68261149710431,0.0551064421961241,1.18710305322495,0.68742466899585,0.0639977160431012,1.1815161446125,0.709322944602129,0.0708028170716732,1.1629502490886
"101","NR14",0.778400965546619,0.0760367962514072,0.819039211527537,0.778545112098733,0.0569739378865884,0.917954097667041,0.771281767755912,0.0489623117225535,0.959658886464334,0.754173824521219,0.0554014761086721,1.02023122229078
