"","sample_pt","prop_blueberry_250","prop_edge_250","landscape_shdi_250","prop_blueberry_500","prop_edge_500","landscape_shdi_500","prop_blueberry_750","prop_edge_750","landscape_shdi_750","prop_blueberry_1000","prop_edge_1000","landscape_shdi_1000"
"130","PM04A",0.190037757182951,0.148060653784804,1.97872894353348,0.159714791393029,0.112201999097313,1.80098820045739,0.281093100957197,0.0876580278128951,1.72337718296928,0.354692794842962,0.0785539001880913,1.73410973124945
"131","PM05",0.639277059773829,0.111288368336026,1.18444773763171,0.614691786900626,0.0871060171919771,1.27597432120829,0.60736128451096,0.0731613156664913,1.32962973297155,0.506913807150601,0.0732600453251885,1.63532727950197
"132","PM07",0,0.0589541691903897,1.33959912297607,0.0401541660327603,0.0532024950555302,1.59763587739446,0.10115540384954,0.0488755243113405,1.6948261129094,0.163925794217077,0.0626877593017961,1.83526106720717
"133","PM08",0,0.0552527454780362,1.50022223272645,0.0434145401436164,0.0513712523834638,1.50726409465123,0.143961387555704,0.0535865055105809,1.71892973241014,0.179898108510495,0.0697538406378453,1.84617911842488
"134","PM09",0.171792645247279,0.0616934913871443,1.53732754204175,0.135494015013187,0.0758013795901806,1.75923229263655,0.185310129769251,0.0695519833447364,1.83576731133229,0.214827075086253,0.0743069909819206,1.87079569651572
"135","PM10",0.218424452878947,0.121981749172252,1.96704407655701,0.213082330030124,0.0951151727845341,1.96659936211211,0.234293235085628,0.0800745887909121,1.88536304507354,0.200783742401975,0.0819191319175957,1.99089705713467
"136","PM12A",0.543914553383944,0.0760377968018091,1.31901614097602,0.355957216973238,0.0901658881940958,1.68523141038697,0.210140625035275,0.0809254296750656,1.90773112976659,0.164358927107626,0.0868773392472469,2.01158642525409
"137","PM13A",0,0.10799620286401,1.79862083764746,0.0932769954956783,0.11419571480745,1.91805927564864,0.182916476639017,0.0948730916332143,1.9683269903635,0.171438243543863,0.0864178048370758,2.02886180174357
"138","PM14A",0.185589916577454,0.160361161047933,1.84147521334982,0.218054914452961,0.107967313067164,2.06894043010828,0.173430659571153,0.0833828167862924,2.0548187857665,0.158846802512897,0.0823198669074669,2.05607665708595
"139","PM15",0.692619888944977,0.0296012115093387,0.825378894498189,0.391124614510631,0.0806382892387599,1.69588719856827,0.258497488288085,0.103717333634362,1.99232467657004,0.223266567273827,0.0935207816191882,2.10601808666562
"140","PM16",0.283862631483314,0.104621348246553,1.577924200388,0.235946224180862,0.0851923788852319,2.04079279733328,0.20732673669667,0.0794689278546482,2.14893169518339,0.16103636952916,0.0955343581791722,2.21241248689702
"141","PM17",0.363852940582665,0.0728230804950435,1.66459232277114,0.343082462724414,0.10436149710924,1.95772621759949,0.33352673582499,0.111239544412963,2.03945644062423,0.304645819194823,0.104644039966551,2.12278244668134
"142","PM18",0.0162762520193861,0.0942447495961228,1.59236254643093,0.148902392014445,0.0842175739008704,2.11797577882649,0.221521545252368,0.0945146250324562,2.28719152431519,0.191914078498511,0.110562626080188,2.29339243656933
"143","PM19",0.424750176642778,0.185525386090643,1.57485575227014,0.349289575367889,0.145061509284707,2.07529178240829,0.364916605712531,0.115207831026106,2.07558118588925,0.34016155926551,0.100009913170791,2.10529815607612
"144","PM20",0.00648131322309044,0.17689341167444,1.99530013757731,0.162371186303148,0.147567753975982,2.15777670777191,0.12667538079145,0.131134032720861,2.37410334881368,0.1917228086701,0.111166286129683,2.34807078907345
"145","PM21",0.0352751135790005,0.0647955577990914,1.21684031226119,0.0270858267237357,0.0627675112075785,0.941486324018114,0.159403374586304,0.0802942942671766,1.57370366936345,0.183341297639685,0.0805661605095801,1.79892423658604
"146","PM22",0.31936252726832,0.124787913064555,1.69671547488406,0.299789495041721,0.109153161378681,1.65660038850048,0.339879389406046,0.0965900752517989,1.67778558961988,0.406462732019299,0.0816878244203013,1.67126292378816
"147","PM23",0.0545443526393406,0.110906850366659,1.15632102241345,0.257709474538446,0.0668594035301278,1.30192364707298,0.207313301077624,0.0698637899932042,1.60702817042132,0.180162637999537,0.0879676350889323,1.85535440118798
"148","PM24",0.246558197747184,0.149804190722274,1.68083282174042,0.353887970466232,0.103124778141766,1.64678321721047,0.405533355909245,0.0950965120216729,1.71704469235368,0.391951247410495,0.0897576350672954,1.73880040223656
"149","PM25",0.964420572259354,0.0188599236718293,0.17822872790371,0.872396533275183,0.0376998716966971,0.58052936821141,0.560921979411233,0.0930648365540907,1.55933988329202,0.457091330572904,0.0814720767023286,1.78936559060723
"150","PM26",0.867821662224376,0.0448267506663436,0.593985539234836,0.631467910845145,0.107026396531176,1.41930037669085,0.495130529794746,0.0980169946090427,1.82660096527212,0.402708271630518,0.091905310912278,1.96498969409031
"151","PM27",0.373700256415433,0.161541723030952,1.8037177356237,0.475146302625841,0.109455662951205,1.75986227951656,0.421365829211525,0.0989459759035057,1.81207247571721,0.371031493861366,0.101467934216212,1.95566194680462
"152","PM29",0.146283845175359,0.0473681022472591,0.994647293003717,0.380189473470671,0.0753887350515778,1.75644120631464,0.256182712560021,0.105088617939404,2.16381944112168,0.230236427020013,0.102254717928318,2.22174968982948
"153","PM30",0.807724923275723,0.0754320788240995,0.810222391908008,0.602114818947155,0.107931838928897,1.37988899714919,0.552180077026228,0.0879548317478091,1.43138532233022,0.450710383069256,0.0877916294391793,1.79556538154553
"154","PM31",0.161320278590895,0.173796305642475,1.99065666050583,0.221863304901672,0.160681142810779,2.21128690005903,0.243020171349234,0.12745312729284,2.24739927361838,0.267019696085502,0.106186594225981,2.29916410427132
"155","PM32",0.707125981867011,0.104093047674818,1.12824752460392,0.632322812284474,0.113189176031482,1.34546391390175,0.515771175726928,0.100925591475528,1.72909631569194,0.406770312398726,0.0928083858742551,1.95401912438707
"156","PM40",0.00113037685957086,0.0855654912093014,1.67659828392455,0.129487172985938,0.0636000831638785,1.66669854682584,0.130675956048521,0.0609243175758506,1.8767942655231,0.154493918000899,0.0735384698128212,2.07230965803483
"157","PM41",0,0.0452415576021974,0.833310796668595,0,0.0712542926564505,1.29278723768273,0.0315901655260549,0.0834923265543892,1.75252359388504,0.112955402729489,0.0760968607308842,1.89552942067521
"158","PM42",0,0.150772337203433,1.59503087556557,0.0407282501204453,0.0907219108958592,1.65753572754213,0.0575875451243162,0.0811210471776278,1.71711910112174,0.179231230681633,0.0816594985358712,1.81358302090687
"159","PM43",0.216021965597997,0.155172413793103,1.91585817943153,0.222606561035483,0.11084173581384,1.76938995177198,0.330631724860367,0.0877917398509073,1.7088744494729,0.384163961895463,0.0786843687744176,1.70292675305357
