"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"apicystis_impatiens_abundance",-0.06,0.06,-0.17,0.05,1,3656.3,3513.75,0.14,0.86,"",""
"apicystis_statusnonnative",0.06,0.35,-0.62,0.74,1,2830.51,2666.94,0.59,0.41,"",""
"apicystis_floral_abundance",0.1,0.15,-0.21,0.39,1,3104.9,3401.36,0.75,0.25,"",""
"apicystis_floral_diversity",-0.22,0.13,-0.48,0.02,1,3230.1,3561.67,0.04,0.96,"","**"
"apicystis_prop_blueberry",-0.23,0.2,-0.61,0.16,1,3682.76,3486.25,0.12,0.88,"",""
"apicystis_julian_date",0.52,0.17,0.19,0.86,1,4136.75,3952.69,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.36,0.19,-0.74,0.01,1,4323.92,3930.82,0.03,0.97,"","**"
"anyparasite_bombus_shannon_diversity",0.16,0.23,-0.29,0.6,1,4695.55,3648.84,0.76,0.24,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.02,0.05,1,4559.86,4121.3,0.7,0.3,"",""
"anyparasite_impatiens_abundance",-0.03,0.05,-0.11,0.06,1,4126.97,3502.38,0.3,0.7,"",""
"anyparasite_statusnonnative",-0.65,0.45,-1.59,0.2,1,2295.26,2485.53,0.06,0.94,"","*"
"anyparasite_floral_abundance",-0.03,0.12,-0.26,0.2,1,3632.36,3393.57,0.41,0.59,"",""
"anyparasite_floral_diversity",0.02,0.1,-0.18,0.23,1,4514.87,4063.39,0.59,0.41,"",""
"anyparasite_prop_blueberry",-0.03,0.17,-0.36,0.32,1,2463.53,3308.82,0.44,0.56,"",""
"anyparasite_julian_date",0.4,0.13,0.15,0.66,1,4742.6,3528.95,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.22,0.14,-0.51,0.05,1,5220.27,3622.82,0.06,0.94,"","*"
