"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"impatiensabundance_siteW",-1.35,0.33,-2.02,-0.73,1,1217.22,2176.75,0,1,"","***"
"hascrithidia_bombus_shannon_diversity",0.16,0.26,-0.35,0.68,1,4137.46,3395.08,0.73,0.27,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.04,0.04,1,4046.78,3869.38,0.53,0.47,"",""
"hascrithidia_impatiens_abundance",-0.08,0.05,-0.18,0.02,1,3350.83,3162.08,0.05,0.95,"","**"
"hascrithidia_floral_abundance",-0.04,0.13,-0.31,0.22,1,3730.99,3627.98,0.38,0.62,"",""
"hascrithidia_floral_diversity",-0.02,0.12,-0.25,0.21,1,3874.35,3465.39,0.45,0.55,"",""
"hascrithidia_prop_blueberry",-0.08,0.19,-0.47,0.29,1,2898.75,3370.94,0.34,0.66,"",""
"hascrithidia_julian_date",0.37,0.15,0.07,0.66,1,3761.5,4046.95,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.32,0.16,-0.65,-0.01,1,4529.44,3599.79,0.02,0.98,"","***"
"hascrithidia_final_idB.flavifrons",3.04,1.34,0.93,6.18,1,1281.02,923.15,1,0,"***",""
"hascrithidia_final_idB.impatiens",2.71,1.32,0.65,5.85,1,1251.55,925.89,1,0,"***",""
"hascrithidia_final_idB.mixtus",3.47,1.32,1.45,6.59,1,1260.2,976.06,1,0,"***",""
"hascrithidia_final_idB.rufocinctus",1.5,1.41,-0.79,4.69,1,1284.9,993.2,0.88,0.12,"",""
"hascrithidia_final_idB.vosnesenskii",4.36,1.35,2.29,7.54,1,1258.4,986.17,1,0,"***",""
