"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"apicystis_bombus_shannon_diversity",-0.19,0.31,-0.8,0.4,1,3507.18,3764.61,0.28,0.72,"",""
"apicystis_native_bee_abundance",-0.03,0.03,-0.08,0.02,1,5110.07,3713.55,0.14,0.86,"",""
"apicystis_impatiens_abundance",-0.06,0.08,-0.21,0.09,1,3535.5,3620.62,0.24,0.76,"",""
"apicystis_statusnonnative",0.11,0.44,-0.77,0.97,1,3627.95,3452.72,0.6,0.4,"",""
"apicystis_floral_abundance",0.1,0.15,-0.21,0.38,1,3860.47,3675.51,0.74,0.26,"",""
"apicystis_floral_diversity",-0.23,0.13,-0.49,0.02,1,3828.56,3450.31,0.04,0.96,"","**"
"apicystis_prop_blueberry",-0.22,0.2,-0.61,0.17,1,3971.31,3745.23,0.12,0.88,"",""
"apicystis_julian_date",0.52,0.18,0.18,0.87,1,4376.24,3680.38,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.35,0.2,-0.73,0.03,1,5677.29,3596.25,0.03,0.97,"","**"
"apicystis_impatiens_abundance:statusnonnative",-0.01,0.1,-0.2,0.19,1,3237.82,3317.93,0.45,0.55,"",""
"anyparasite_bombus_shannon_diversity",0.19,0.23,-0.26,0.63,1,5365.45,3878.66,0.79,0.21,"",""
"anyparasite_native_bee_abundance",0.01,0.02,-0.03,0.04,1,4805.29,3929.81,0.69,0.31,"",""
"anyparasite_impatiens_abundance",-0.06,0.06,-0.18,0.07,1,3515.62,3674.48,0.17,0.83,"",""
"anyparasite_statusnonnative",-0.84,0.52,-1.9,0.13,1,3172.11,3141.71,0.05,0.95,"","**"
"anyparasite_floral_abundance",-0.02,0.12,-0.26,0.21,1,4045.89,3712.4,0.42,0.58,"",""
"anyparasite_floral_diversity",0.03,0.1,-0.18,0.23,1,4786.36,3464.93,0.62,0.38,"",""
"anyparasite_prop_blueberry",-0.04,0.17,-0.37,0.32,1,2833.23,2978.57,0.41,0.59,"",""
"anyparasite_julian_date",0.42,0.14,0.16,0.7,1,5603.17,4200.63,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.21,0.14,-0.49,0.06,1,6205.27,4260.73,0.06,0.94,"","*"
"anyparasite_impatiens_abundance:statusnonnative",0.07,0.08,-0.1,0.22,1,3898.39,3728.69,0.79,0.21,"",""
