"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hasnosema_statusnonnative:native_bee_abundance",-1.08,0.61,-2.42,-0.08,1,4384.79,3202.9,0.01,0.99,"","***"
"hasnosema_impatiens_abundance:statusnonnative",-0.19,0.25,-0.69,0.27,1,3721.08,3490.37,0.22,0.78,"",""
"apicystis_bombus_shannon_diversity",-0.19,0.34,-0.86,0.47,1,3163.46,3490.74,0.29,0.71,"",""
"apicystis_impatiens_abundance",-0.06,0.08,-0.22,0.1,1,3270.67,3484.71,0.24,0.76,"",""
"apicystis_statusnonnative",0.12,0.47,-0.82,1.03,1,3299.26,2945.53,0.61,0.39,"",""
"apicystis_floral_abundance",0.1,0.15,-0.2,0.39,1,2683.4,3988.65,0.74,0.26,"",""
"apicystis_floral_diversity",-0.23,0.14,-0.51,0.04,1,4008.62,3663.74,0.05,0.95,"","**"
"apicystis_prop_blueberry",-0.22,0.19,-0.61,0.15,1,4106.98,3664.22,0.12,0.88,"",""
"apicystis_julian_date",0.52,0.18,0.17,0.88,1,3944.62,3743.16,1,0,"***",""
"apicystis_Ijulian_dateE2",-0.36,0.2,-0.76,0.02,1,4715.17,3173.59,0.03,0.97,"","**"
"apicystis_statusnative:native_bee_abundance",-0.03,0.03,-0.08,0.02,1,4526.69,3537.44,0.14,0.86,"",""
"apicystis_statusnonnative:native_bee_abundance",-0.03,0.08,-0.19,0.13,1,3739.8,3837.46,0.36,0.64,"",""
"apicystis_impatiens_abundance:statusnonnative",-0.02,0.11,-0.23,0.2,1,2903.49,3592.55,0.44,0.56,"",""
"anyparasite_bombus_shannon_diversity",0.1,0.27,-0.43,0.61,1,3700.95,3849.59,0.65,0.35,"",""
"anyparasite_impatiens_abundance",-0.05,0.07,-0.18,0.07,1,2984.49,3572.02,0.21,0.79,"",""
"anyparasite_statusnonnative",-0.94,0.54,-2.06,0.1,1,2766.52,3057.98,0.04,0.96,"","**"
"anyparasite_floral_abundance",-0.02,0.12,-0.25,0.21,1,4214.91,3831.02,0.42,0.58,"",""
"anyparasite_floral_diversity",0.02,0.1,-0.17,0.22,1,4859.09,3448.2,0.58,0.42,"",""
"anyparasite_prop_blueberry",-0.03,0.18,-0.37,0.33,1,2820.17,3025.39,0.43,0.57,"",""
"anyparasite_julian_date",0.44,0.14,0.17,0.72,1,4281.59,3651,1,0,"***",""
"anyparasite_Ijulian_dateE2",-0.21,0.14,-0.49,0.05,1,5939.61,4073.35,0.06,0.94,"","*"
"anyparasite_statusnative:native_bee_abundance",0.01,0.02,-0.03,0.04,1,5715.32,3357.2,0.64,0.36,"",""
"anyparasite_statusnonnative:native_bee_abundance",0.06,0.07,-0.08,0.2,1,3926.22,3372.48,0.8,0.2,"",""
"anyparasite_impatiens_abundance:statusnonnative",0.05,0.09,-0.13,0.23,1,3217.52,3776.81,0.7,0.3,"",""
