"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.44,0.67,-2.78,-0.14,1,16141.69,15527.67,0.01,0.99,"","***"
"apicystis_Intercept",-0.36,0.72,-1.77,1.06,1,15970.75,14830.01,0.31,0.69,"",""
"hascrithidia_floral_abundance",0.01,0.26,-0.49,0.52,1,15364.26,14741.11,0.52,0.48,"",""
"hascrithidia_floral_diversity",0.02,0.2,-0.36,0.42,1,16097.23,15142.59,0.54,0.46,"",""
"hascrithidia_bombus_richness",0.19,0.31,-0.42,0.78,1,12336.42,14157.45,0.73,0.27,"",""
"hascrithidia_native_bee_abundance",0.11,0.13,-0.14,0.36,1,12133.09,12457.96,0.8,0.2,"",""
"hascrithidia_impatiens_abundance",-0.02,0.08,-0.17,0.13,1,22469.61,16077.91,0.39,0.61,"",""
"hascrithidia_prop_blueberry_250",0.27,0.3,-0.31,0.89,1,12330.1,12634.84,0.82,0.18,"",""
"hascrithidia_prop_edge_250",-0.28,0.25,-0.78,0.19,1,13533.64,13890.86,0.12,0.88,"",""
"hascrithidia_landscape_shdi_250",0.17,0.27,-0.36,0.7,1,12757.2,13974.49,0.73,0.27,"",""
"hascrithidia_julian_date",0.47,0.43,-0.36,1.35,1,12598.96,15060.8,0.86,0.14,"",""
"hascrithidia_Ijulian_dateE2",-0.57,0.43,-1.45,0.25,1,14703.52,13839.54,0.09,0.91,"",""
"apicystis_floral_abundance",0.43,0.27,-0.08,0.95,1,15251.37,13564.53,0.95,0.05,"*",""
"apicystis_floral_diversity",0.03,0.21,-0.39,0.43,1,18487.74,15235.59,0.55,0.45,"",""
"apicystis_bombus_richness",-0.61,0.36,-1.34,0.06,1,11040.34,12275.21,0.04,0.96,"","*"
"apicystis_native_bee_abundance",0.19,0.14,-0.07,0.45,1,13105.34,14339.24,0.92,0.08,"",""
"apicystis_impatiens_abundance",-0.09,0.09,-0.26,0.08,1,18378.88,14418.25,0.16,0.84,"",""
"apicystis_prop_blueberry_250",-0.1,0.29,-0.69,0.49,1,14890.6,12619.24,0.35,0.65,"",""
"apicystis_prop_edge_250",-0.33,0.24,-0.8,0.16,1,11805.34,12212.73,0.09,0.91,"",""
"apicystis_landscape_shdi_250",0.4,0.27,-0.14,0.93,1,13310.96,13383.62,0.93,0.07,"",""
"apicystis_julian_date",1.19,0.56,0.2,2.39,1,11527.42,11094.35,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-1.27,0.51,-2.34,-0.33,1,10960.68,10770.54,0,1,"","***"
