"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.78,1.1,-4.01,0.37,1,10263.72,12430.27,0.05,0.95,"","*"
"hasnosema_Intercept",-2.98,1.16,-5.2,-0.64,1,8558.64,12949.95,0.01,0.99,"","***"
"apicystis_Intercept",-2.31,0.76,-3.86,-0.85,1,18172.31,15094.47,0,1,"","***"
"hascrithidia_floral_abundance",-0.06,0.17,-0.39,0.28,1,17249.27,15239.07,0.37,0.63,"",""
"hascrithidia_floral_diversity",-0.05,0.16,-0.37,0.26,1,13483.78,14929.58,0.38,0.62,"",""
"hascrithidia_bombus_richness",-0.04,0.15,-0.32,0.25,1,18324.74,15081.85,0.4,0.6,"",""
"hascrithidia_native_bee_abundance",0,0.02,-0.05,0.04,1,16956.14,15193.82,0.52,0.48,"",""
"hascrithidia_impatiens_abundance",-0.2,0.08,-0.37,-0.04,1,16899.97,14620.74,0.01,0.99,"","***"
"hascrithidia_prop_blueberry_500",-0.54,0.28,-1.1,0,1,13502.08,13052.24,0.02,0.98,"","**"
"hascrithidia_prop_edge_500",-0.28,0.2,-0.68,0.11,1,12234.03,13857.56,0.08,0.92,"",""
"hascrithidia_landscape_shdi_500",0.31,0.23,-0.15,0.78,1,11511.72,12579.47,0.91,0.09,"",""
"hascrithidia_casteworker",1.21,0.49,0.29,2.21,1,21420.87,14834.41,0.99,0.01,"***",""
"hascrithidia_julian_date",0.45,0.21,0.05,0.86,1,18000.3,15358.45,0.99,0.01,"***",""
"hascrithidia_Ijulian_dateE2",-0.32,0.22,-0.76,0.09,1,18414.36,15321.26,0.06,0.94,"",""
"hasnosema_floral_abundance",-0.2,0.27,-0.74,0.33,1,13797.66,13701.31,0.23,0.77,"",""
"hasnosema_floral_diversity",-0.08,0.27,-0.61,0.44,1,17545.77,14119.96,0.38,0.62,"",""
"hasnosema_bombus_richness",0.27,0.24,-0.19,0.74,1,11127.71,13944.52,0.87,0.13,"",""
"hasnosema_native_bee_abundance",0.02,0.03,-0.05,0.08,1,14075.68,14780.94,0.73,0.27,"",""
"hasnosema_impatiens_abundance",0.19,0.13,-0.06,0.43,1,11354.79,14509.74,0.93,0.07,"",""
"hasnosema_prop_blueberry_500",0.34,0.45,-0.55,1.24,1,13396.88,12674.51,0.78,0.22,"",""
"hasnosema_prop_edge_500",-0.01,0.32,-0.63,0.64,1,9792.61,11549.23,0.48,0.52,"",""
"hasnosema_landscape_shdi_500",0.4,0.4,-0.38,1.21,1,13395.1,13729.09,0.85,0.15,"",""
"hasnosema_casteworker",-0.72,0.55,-1.79,0.4,1,21880.27,15294.7,0.1,0.9,"",""
"hasnosema_julian_date",-0.5,0.38,-1.28,0.2,1,13496.97,13012.63,0.08,0.92,"",""
"hasnosema_Ijulian_dateE2",0.1,0.35,-0.62,0.76,1,13323.79,13220.79,0.63,0.37,"",""
"apicystis_floral_abundance",0.14,0.18,-0.23,0.49,1,14973.98,14672.3,0.78,0.22,"",""
"apicystis_floral_diversity",-0.38,0.18,-0.73,-0.04,1,17986.36,14328.61,0.01,0.99,"","***"
"apicystis_bombus_richness",0,0.17,-0.32,0.33,1,15022.09,13920.69,0.51,0.49,"",""
"apicystis_native_bee_abundance",-0.04,0.03,-0.1,0.02,1,19462.29,14329.9,0.1,0.9,"",""
"apicystis_impatiens_abundance",-0.1,0.08,-0.27,0.07,1,19820.28,14488.88,0.12,0.88,"",""
"apicystis_prop_blueberry_500",-0.55,0.31,-1.16,0.04,1,16608.48,14603.25,0.03,0.97,"","*"
"apicystis_prop_edge_500",0.01,0.18,-0.35,0.38,1,15004.83,14514.76,0.52,0.48,"",""
"apicystis_landscape_shdi_500",-0.07,0.23,-0.53,0.38,1,15351.92,14197.44,0.37,0.63,"",""
"apicystis_casteworker",0.77,0.6,-0.33,2.03,1,22113.29,14176.07,0.91,0.09,"",""
"apicystis_julian_date",0.48,0.22,0.06,0.92,1,18171.15,15287.73,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-0.27,0.25,-0.77,0.22,1,20962.62,15928.84,0.14,0.86,"",""
