"","elpd_diff","se_diff","elpd_loo","se_elpd_loo","p_loo","se_p_loo","looic","se_looic","parasite"
"fit.bombus.par.inter",0,0,-441.972355280878,13.0649046027078,54.3151768880963,2.28049985193863,883.944710561756,26.1298092054157,"crithidia"
"fit.bombus.par",-2.5973446192816,3.26714100348659,-444.569699900159,12.5572663016233,50.9848799442061,2.09219719087796,889.139399800319,25.1145326032466,"crithidia"
"fit.bombus.par1",0,0,-357.597201367059,16.9240953398986,46.4906072733104,3.12200180336097,715.194402734117,33.8481906797972,"apicystis"
"fit.bombus.par.inter1",-3.13348282007726,0.426584837226966,-360.730684187136,17.0668638473911,50.1254240836296,3.30006000400084,721.461368374271,34.1337276947823,"apicystis"
