"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"hascrithidia_Intercept",-1.52,0.66,-2.85,-0.22,1,17164.55,15922.02,0.01,0.99,"","***"
"apicystis_Intercept",-0.42,0.73,-1.84,1.02,1,15772.01,15983.92,0.28,0.72,"",""
"hascrithidia_floral_abundance",-0.06,0.26,-0.56,0.45,1,14013.11,13272.43,0.39,0.61,"",""
"hascrithidia_floral_diversity",0.05,0.19,-0.32,0.44,1,15370.41,14737.77,0.6,0.4,"",""
"hascrithidia_bombus_richness",0.18,0.31,-0.42,0.78,1,12170.34,13106.68,0.72,0.28,"",""
"hascrithidia_native_bee_abundance",0.09,0.13,-0.16,0.35,1,10913.08,11951.34,0.77,0.23,"",""
"hascrithidia_impatiens_abundance",-0.02,0.08,-0.18,0.13,1,20812.84,15152.67,0.38,0.62,"",""
"hascrithidia_prop_blueberry_750",0.12,0.28,-0.43,0.69,1,13504.11,12167.19,0.66,0.34,"",""
"hascrithidia_prop_edge_750",0.08,0.32,-0.53,0.75,1,9589.07,9611.25,0.6,0.4,"",""
"hascrithidia_landscape_shdi_750",0.08,0.34,-0.63,0.71,1,6612.6,9827.31,0.62,0.38,"",""
"hascrithidia_julian_date",0.4,0.44,-0.43,1.28,1,13022.14,14446.06,0.82,0.18,"",""
"hascrithidia_Ijulian_dateE2",-0.46,0.42,-1.29,0.36,1,15245.85,14617.17,0.14,0.86,"",""
"apicystis_floral_abundance",0.4,0.28,-0.14,0.94,1,13954.64,13457.88,0.93,0.07,"",""
"apicystis_floral_diversity",0.04,0.22,-0.39,0.45,1,17240.68,14493.34,0.57,0.43,"",""
"apicystis_bombus_richness",-0.62,0.37,-1.38,0.08,1,10582.78,11620.74,0.04,0.96,"","*"
"apicystis_native_bee_abundance",0.16,0.14,-0.11,0.44,1,12164.42,12756.74,0.88,0.12,"",""
"apicystis_impatiens_abundance",-0.08,0.09,-0.26,0.09,1,17106.68,14875.19,0.18,0.82,"",""
"apicystis_prop_blueberry_750",-0.21,0.27,-0.76,0.32,1,14589.4,13713.48,0.21,0.79,"",""
"apicystis_prop_edge_750",-0.14,0.31,-0.74,0.49,1,10683.85,12475.16,0.32,0.68,"",""
"apicystis_landscape_shdi_750",0.17,0.31,-0.44,0.77,1,11014.46,13264.23,0.72,0.28,"",""
"apicystis_julian_date",1.21,0.59,0.15,2.45,1,11363.57,12520.54,0.99,0.01,"***",""
"apicystis_Ijulian_dateE2",-1.22,0.52,-2.3,-0.25,1,11143.29,11525.75,0.01,0.99,"","***"
