"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"Intercept",-3.32,1,-5.53,-1.66,1,2183.15,2501.18,0,1,"***","ns"
"final_idBombus_flavifrons",0.37,1.08,-1.5,2.68,1,2423.81,2964.06,0.61,0.39,"ns","ns"
"final_idBombus_impatiens",1.08,1.02,-0.63,3.33,1,2279.17,2592.44,0.87,0.13,"ns","ns"
"final_idBombus_mixtus",0.49,1.03,-1.26,2.76,1,2342.6,2862.3,0.66,0.34,"ns","ns"
"final_idBombus_rufocinctus",-0.03,1.26,-2.41,2.52,1,2871.63,3494.38,0.48,0.52,"ns","ns"
"final_idBombus_vosnesenskii",1.24,1.09,-0.7,3.6,1,2485.86,3001.98,0.89,0.11,"ns","ns"
