"","site","round","sample_pt","sample_id","sampledImp","julian_date","subsite","lat","long","impatiens_abundance","rufocinctus_abundance","californicus_abundance","vos_abundance","flavifrons_abundance","mixtus_abundance","bombus_shannon_diversity","floral_diversity","floral_abundance","prop_blueberry","prop_edge","landscape_shdi","barcode_id","final_id","apidae","apicystis","ascosphaera","nbombii","nceranae","crithidiaspp","cbombii","cexpoeki","caste","hascrithidia","hasnosema","any_parasite","native_bee_abundance","weighted_z_mix","weighted_z_imp","weighted_z_flav","weighted_z_rufo","weighted_z_cal","weighted_z_vos","adjusted_julian"
"15","W",1,"W35A","1_W35A",FALSE,130,"","49.09449","-123.145",0,0,0,0,0,0,0,0.566085738959629,1.11394335230684,0.05471819215933,0.0301946504489734,1.69763522110555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"16","W",1,"W08","1_W08",FALSE,130,"","49.0864691","-123.1526511",0,0,0,0,0,0,0,0.693147180559945,1.32221929473392,0.0161463227916594,0.0778970740273993,1.51497237788124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"17","W",1,"W09","1_W09",FALSE,130,"","49.0889519","-123.1512088",0,0,0,0,0,0,0,0.566085738959629,1.11394335230684,0.0161698258340253,0.0876356930725853,1.7563452155401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"18","W",1,"W24","1_W24",FALSE,130,"westham2","49.0920602","-123.1542973",0,0,0,0,0,0,0,1.20567904997478,1.50514997831991,0,0.0517006941296897,1.06523997545413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"19","W",1,"W34","1_W34",FALSE,130,"westham2","49.0937647","-123.1504778",0,0,0,0,0,0,0,0.693147180559945,1.32221929473392,0,0.040986367108218,0.499521094094294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"20","W",1,"W30","1_W30",FALSE,130,"westham2","49.0955023","-123.1490957",0,0,0,0,0,1,0,0.651818418022682,2.0899051114394,0,0.0299139541682024,1.14368807483195,"W1_30_01","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,-2.38931405811516
"21","W",1,"W29","1_W29",FALSE,130,"westham2","49.0982632","-123.15295",0,0,0,0,0,1,0,1.38629436111989,1.61278385671974,0,0.0341709475139736,1.08295385228122,"W1_29_01","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,1,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,-2.38931405811516
"22","W",1,"W26","1_W26",FALSE,130,"westham2","49.0997928","-123.1571369",0,0,0,0,0,0,0,0.793730055158425,2.11727129565576,0,0.0308647231439672,1.52706551706082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"23","W",1,"W28","1_W28",FALSE,130,"westham2","49.0950509","-123.1575017",0,0,0,0,0,0,0,0.0555460752688918,2.00860017176192,0,0.0298385292741952,0.226661035045457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"24","W",1,"W25","1_W25",FALSE,130,"westham2","49.09466","-123.15417",0,0,0,0,0,0,0,0,0.301029995663981,0,0.0365584756414509,0.333728463613259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
"25","W",1,"W05A","1_W05A",FALSE,130,"","49.08972","-123.16038",0,0,0,0,1,1,0.693147180559945,0.0565523908941643,4.00440736417633,0.0452642575548456,0.0562816612145197,1.21094764418851,"W1_05_01","B. flavifrons",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,2,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,-3.31716242784726
"26","W",1,"W05A","1_W05A",FALSE,130,"","49.08972","-123.16038",0,0,0,0,1,1,0.693147180559945,0.0565523908941643,4.00440736417633,0.0452642575548456,0.0562816612145197,1.21094764418851,"W1_05_02","B. mixtus",NA,NA,NA,NA,NA,NA,NA,NA,"worker",NA,NA,NA,2,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,-2.38931405811516
"27","W",1,"W01","1_W01",FALSE,130,"westham3","49.0878415","-123.1662845",0,0,0,0,0,0,0,0,NA,0.0364176885916016,0.0400826989800544,0.847301945961296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-2.38931405811516,-4.59623816400749,-3.31716242784726,-3.02746568846807,-4.47780907412549,-3.3505120079756,0
