"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"321","HR",9,"HR23","9_HR23",2022,"HR9_23_01","SPJA","B. impatiens","B. impatiens","","impatiens_DNA_08","F2","y","y","","bcparasite04_B6","harvieroad4","49.1518644","-122.70223"
"322","NR",1,"NR43","1_NR43",2022,"NR1_43_18","LUPO","B. mixtus","B. mixtus","","mixtus_DNA_02","B10","y","y","","bcparasite04_B7","nicomekl2","49.0834488","-122.776728"
"323","HR",9,"HR33","9_HR33",2022,"HR9_33_01","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","F8","y","y","","bcparasite04_B8","harvieroad3","49.1479665","-122.730115"
"324","SD",9,"SD03","9_SD03",2022,"SD9_03_04","VICR","B. mixtus","B. mixtus","","mixtus_DNA_05","E5","y","n","","bcparasite04_B9","southdelta3","49.0601615","-123.0764268"
"325","ED",4,"ED10","4_ED10",2022,"ED4_10_05","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_01","C9","y","y","","bcparasite04_C1","eastdelta2","49.1053113","-122.9572629"
"326","HR",5,"HR34","5_HR34",2022,"HR5_34_04","VICR","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite04_C10","harvieroad1","49.1628452","-122.7053717"
"327","ED",7,"ED22B","7_ED22B",2022,"ED7_22B_04","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","G1","y","y","","bcparasite04_C11","eastdelta2","49.1046204","-122.9460145"
"328","HR",2,"HR16","2_HR16",2022,"HR2_16_08","VACO","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite04_C12","harvieroad1","49.159073","-122.7088316"
"329","SD",3,"SD26","3_SD26",2022,"SD3_26_04","VIHI","B. mixtus","B. mixtus","","mixtus_DNA_04","E3","y","y","","bcparasite04_C2","southdelta4","49.0584528","-123.0671996"
"330","W",8,"W01","8_W01",2022,"W8_01_03","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","E3","y","y","","bcparasite04_C3","westham3","49.0878415","-123.1662845"
"331","SD",6,"SD26","6_SD26",2022,"SD6_26_12","VIVI","B. californicus","B. californicus","queen","","","y","y","","bcparasite04_C4","southdelta4","49.0584528","-123.0671996"
"332","ED",6,"ED28A","6_ED28A",2022,"ED6_28A_06","VICR","B. rufocinctus","B. rufocinctus","","","","y","y","","bcparasite04_C5","eastdelta1","49.1007889","-122.9346452"
"333","HR",4,"HR32","4_HR32",2022,"HR4_32_04","SYOF","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_C6","harvieroad3","49.147953","-122.7201041"
"334","NR",6,"NR07A","6_NR07A",2022,"NR6_07A_01","VICR","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite04_C7","nicomekl1","49.0896758","-122.7593916"
"335","HR",2,"HR10","2_HR10",2022,"HR2_10_03","VISA","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_C8","harvieroad2","49.1588394","-122.7276809"
"336","W",9,"W10","9_W10",2022,"W9_10_03","LYSA","B. mixtus","B. mixtus","","mixtus_DNA_04","H9","y","y","","bcparasite04_C9","westham3","49.0877613","-123.1628726"
"337","HR",3,"HR12","3_HR12",2022,"HR3_12_08","VICR","B. mixtus","B. mixtus","","mixtus_DNA_08","G3","y","n","","bcparasite04_D1","harvieroad2","49.1590772","-122.7236265"
"338","HR",4,"HR19A","4_HR19A",2022,"HR4_19A_16","VICR","B. flavifrons","B. flavifrons","","","","n","y","","bcparasite04_D10","harvieroad1","49.1578943","-122.7080699"
"339","NR",7,"NR25","7_NR25",2022,"NR7_25_04","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","G2","y","n","","bcparasite04_D11","nicomekl3","49.0746575","-122.7756397"
"340","HR",4,"HR14","4_HR14",2022,"HR4_14_01","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_D12","harvieroad2","49.1589819","-122.7208294"
"341","HR",1,"HR29","1_HR29",2022,"HR1_29_02","MADO","B. mixtus","B. mixtus","separate pollen load","mixtus_DNA_05","H12","y","y","","bcparasite04_D2","harvieroad4","49.1482013","-122.7015327"
"342","W",9,"W11","9_W11",2022,"W9_11_03","RUAR","B. impatiens","B. impatiens","","impatiens_DNA_08","E4","y","y","","bcparasite04_D3","westham3","49.085613","-123.1649155"
"343","HR",2,"HR19A","2_HR19A",2022,"HR2_19A_11","TRME","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite04_D4","harvieroad1","49.1578943","-122.7080699"
"344","HR",3,"HR12","3_HR12",2022,"HR3_12_07","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_D5","harvieroad2","49.1590772","-122.7236265"
"345","SD",9,"SD36","9_SD36",2022,"SD9_36_02","VICR","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite04_D6","southdelta3","49.0597409","-123.0816311"
"346","HR",7,"HR12","7_HR12",2022,"HR7_12_01","HYRA","B. rufocinctus","B. rufocinctus","","","","y","n","","bcparasite04_D7","harvieroad2","49.1590772","-122.7236265"
"347","ED",6,"ED28A","6_ED28A",2022,"ED6_28A_05","VICR","B. mixtus","B. mixtus","","mixtus_DNA_04","G3","y","y","","bcparasite04_D9","eastdelta1","49.1007889","-122.9346452"
"348","SD",3,"SD39","3_SD39",2022,"SD3_39_29","PHTA","B. impatiens","B. impatiens","","impatiens_DNA_08","D9","y","n","","bcparasite04_E1","southdelta2","49.0682854","-123.0740915"
"349","W",10,"W16","10_W16",2022,"W10_16_03","HEPA","B. mixtus","B. mixtus","","mixtus_DNA_06","H2","y","n","","bcparasite04_E10","westham4","49.080608","-123.1570558"
"350","HR",8,"HR26","8_HR26",2022,"HR8_26_02","RUAR","B. impatiens","B. impatiens","","impatiens_DNA_08","G3","y","n","","bcparasite04_E11","harvieroad1","49.1592195","-122.7127155"
"351","SD",3,"SD39","3_SD39",2022,"SD3_39_19","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_09","C1","y","n","","bcparasite04_E12","southdelta2","49.0682854","-123.0740915"
"352","SD",6,"SD36","6_SD36",2022,"SD6_36_13","VICR","B. mixtus","B. mixtus","","mixtus_DNA_07","C1","y","y","","bcparasite04_E2","southdelta3","49.0597409","-123.0816311"
"353","HR",7,"HR10","7_HR10",2022,"HR7_10_08","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","E5","y","n","","bcparasite04_E3","harvieroad2","49.1588394","-122.7276809"
"354","SD",4,"SD39","4_SD39",2022,"SD4_39_16","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_07","G3","y","n","","bcparasite04_E4","southdelta2","49.0682854","-123.0740915"
"355","SD",9,"SD06","9_SD06",2022,"SD9_06_03","CIVU","B. impatiens","B. impatiens","","impatiens_DNA_08","E9","y","n","","bcparasite04_E5","southdelta4","49.0602283","-123.0635157"
"356","W",4,"W24","4_W24",2022,"W4_24_02","Philadelphus spp.","B. mixtus","B. mixtus","queen","mixtus_DNA_04","E4","y","n","","bcparasite04_E6","westham2","49.0920602","-123.1542973"
"357","HR",8,"HR23","8_HR23",2022,"HR8_23_02","ECPU","B. impatiens","B. impatiens","","impatiens_DNA_08","F3","y","y","","bcparasite04_E7","harvieroad4","49.1518644","-122.70223"
"358","PM",2,"PM61","2_PM61",2022,"PM2_61_01","HYRA","B. mixtus","B. mixtus","","mixtus_DNA_01","G11","y","n","","bcparasite04_E8","pittmeadows2","49.2545201","-122.6668191"
"359","HR",1,"HR32","1_HR32",2022,"HR1_32_01","LAPU","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_E9","harvieroad3","49.147953","-122.7201041"
"360","HR",8,"HR12C","8_HR12C",2022,"HR8_12C_04","CASI","B. impatiens","B. impatiens","","impatiens_DNA_08","D10","y","n","","bcparasite04_F1","harvieroad2","49.1604103","-122.7221135"
"361","HR",3,"HR07","3_HR07",2022,"HR3_07_03","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_03","C6","y","n","","bcparasite04_F10","harvieroad3","49.1534587","-122.7244539"
"362","SD",6,"SD24","6_SD24",2022,"SD6_24_07","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","G4","y","n","","bcparasite04_F11","southdelta1","49.0659931","-123.0585976"
"363","SD",6,"SD40","6_SD40",2022,"SD6_40_03","DISE","B. mixtus","B. mixtus","","mixtus_DNA_07","D10","y","n","","bcparasite04_F12","southdelta2","49.0664297","-123.0753682"
"364","PM",4,"PM54A","4_PM54A",2022,"PM4_54A_02","VICR","B. mixtus","B. mixtus","","mixtus_DNA_07","C6","y","y","","bcparasite04_F2","pittmeadows3","49.2423594","-122.6557711"
"365","SD",9,"SD35","9_SD35",2022,"SD9_35_04","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","E6","y","y","","bcparasite04_F3","southdelta2","49.0660753","-123.0832934"
"366","SD",9,"SD24","9_SD24",2022,"SD9_24_09","LASY","B. mixtus","B. mixtus","","mixtus_DNA_05","B3","y","n","","bcparasite04_F4","southdelta1","49.0659931","-123.0585976"
"367","SD",9,"SD35","9_SD35",2022,"SD9_35_05","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","E10","y","y","","bcparasite04_F5","southdelta2","49.0660753","-123.0832934"
"368","W",7,"W25","7_W25",2022,"W7_25_03","TRRE","B. mixtus","B. mixtus","","mixtus_DNA_03","G5","y","n","","bcparasite04_F6","westham2","49.09466","-123.15417"
"369","ED",10,"ED10","10_ED10",2022,"ED10_10_02","N/A (leaf)","B. impatiens","B. impatiens","","impatiens_DNA_08","F4","y","n","","bcparasite04_F7","eastdelta2","49.1053113","-122.9572629"
"370","ED",7,"ED06","7_ED06",2022,"ED7_06_03","CHAN","B. mixtus","B. mixtus","","mixtus_DNA_03","H5","y","n","","bcparasite04_F8","eastdelta3","49.0937503","-122.9571174"
"371","SD",8,"SD26","8_SD26",2022,"SD8_26_05","TRHY","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite04_F9","southdelta4","49.0584528","-123.0671996"
"372","ED",8,"ED06","8_ED06",2022,"ED8_06_05","CHAN","B. impatiens","B. impatiens","","impatiens_DNA_08","D11","y","n","","bcparasite04_G1","eastdelta3","49.0937503","-122.9571174"
"373","SD",6,"SD26","6_SD26",2022,"SD6_26_01","VIVI","B. mixtus","B. mixtus","","mixtus_DNA_07","E10","y","n","","bcparasite04_G10","southdelta4","49.0584528","-123.0671996"
"374","SD",9,"SD39","9_SD39",2022,"SD9_39_03","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_05","G2","y","y","","bcparasite04_G11","southdelta2","49.0682854","-123.0740915"
"375","HR",3,"HR07","3_HR07",2022,"HR3_07_04","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_03","C8","y","y","","bcparasite04_G12","harvieroad3","49.1534587","-122.7244539"
"376","NR",2,"NR43","2_NR43",2022,"NR2_43_06","LUPO","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_G2","nicomekl2","49.0834488","-122.776728"
"377","HR",5,"HR12C","5_HR12C",2022,"HR5_12C_06","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_G3","harvieroad2","49.1604103","-122.7221135"
"378","SD",7,"SD27","7_SD27",2022,"SD7_27_01","RUAR","B. flavifrons","B. mixtus","","mixtus_DNA_06","B5","y","y","","bcparasite04_G4","southdelta3","49.0571951","-123.0749858"
"379","HR",8,"HR23","8_HR23",2022,"HR8_23_03","SANE","B. impatiens","B. impatiens","","impatiens_DNA_08","E11","y","y","","bcparasite04_G5","harvieroad4","49.1518644","-122.70223"
"380","W",9,"W18","9_W18",2022,"W9_18_06","ECSP","B. mixtus","B. mixtus","","mixtus_DNA_04","F7","y","n","","bcparasite04_G6","westham4","49.0821167","-123.1545951"
"381","ED",9,"ED06","9_ED06",2022,"ED9_06_01","JAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","F5","y","y","","bcparasite04_G7","eastdelta3","49.0937503","-122.9571174"
"382","SD",6,"SD39","6_SD39",2022,"SD6_39_06","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_07","F5","y","y","","bcparasite04_G8","southdelta2","49.0682854","-123.0740915"
"383","SD",8,"SD24","8_SD24",2022,"SD8_24_02","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","F9","y","n","","bcparasite04_G9","southdelta1","49.0659931","-123.0585976"
"384","SD",5,"SD24","5_SD24",2022,"SD5_24_14","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","D12","y","y","","bcparasite04_H1","southdelta1","49.0659931","-123.0585976"
"385","PM",2,"PM54","2_PM54",2022,"PM2_54_02","VACO","B. mixtus","B. mixtus","","mixtus_DNA_08","E3","y","n","","bcparasite04_H10","pittmeadows3","49.2435675","-122.654634"
"386","SD",8,"SD25","8_SD25",2022,"SD8_25_03","MELO","B. mixtus","B. mixtus","","mixtus_DNA_02","H12","y","n","","bcparasite04_H11","southdelta4","49.058024","-123.0639996"
"387","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_06","TRRE","B. mixtus","B. mixtus","","mixtus_DNA_05","C11","y","y","","bcparasite04_H12","eastdelta2","49.1028989","-122.9460592"
"388","SD",9,"SD24","9_SD24",2022,"SD9_24_08","LASY","B. californicus","B. californicus","","","","y","n","","bcparasite04_H2","southdelta1","49.0659931","-123.0585976"
"389","HR",5,"HR10","5_HR10",2022,"HR5_10_02","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite04_H3","harvieroad2","49.1588394","-122.7276809"
"390","PM",2,"PM65","2_PM65",2022,"PM2_65_05","HYRA","B. mixtus","B. mixtus","","mixtus_DNA_08","D12","y","n","","bcparasite04_H4","pittmeadows2","49.2547515","-122.6556663"
"391","PM",8,"PM71","8_PM71",2022,"PM8_71_01","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_08","E12","y","n","","bcparasite04_H5","pittmeadows2","49.25134","-122.6668765"
"392","PM",1,"PM19","1_PM19",2022,"PM1_19_03","LUPO","B. mixtus","B. mixtus","","mixtus_DNA_02","B5","y","y","","bcparasite04_H6","pittmeadows4","49.2471037","-122.6399986"
"393","W",10,"W17","10_W17",2022,"W10_17_01","TRME","B. impatiens","B. impatiens","","impatiens_DNA_08","F6","y","y","","bcparasite04_H7","westham4","49.0785706","-123.1520317"
"394","ED",6,"ED27A","6_ED27A",2022,"ED6_27A_05","VICR","B. mixtus","B. mixtus","","mixtus_DNA_05","C5","y","n","","bcparasite04_H8","eastdelta1","49.1002656","-122.9297475"
"395","SD",6,"SD37","6_SD37",2022,"SD6_37_02","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","F10","y","n","","bcparasite04_H9","southdelta4","49.0602593","-123.058988"
"396","NR",5,"NR04A","5_NR04A",2022,"NR5_04A_02","CHAN","B. impatiens","B. impatiens","","impatiens_DNA_08","G7","y","y","","bcparasite05_A1","nicomekl1","49.0857059","-122.7641659"
"397","ED",5,"ED27A","5_ED27A",2022,"ED5_27A_02","VICR","B. impatiens","B. impatiens","","impatiens_DNA_09","B5","y","y","","bcparasite05_A10","eastdelta1","49.1002656","-122.9297475"
"398","SD",4,"SD27","4_SD27",2022,"SD4_27_05","VISA","B. mixtus","B. mixtus","","mixtus_DNA_07","E12","y","y","","bcparasite05_A11","southdelta3","49.0571951","-123.0749858"
"399","W",6,"W18","6_W18",2022,"W6_18_03","VEVI","B. mixtus","B. mixtus","","mixtus_DNA_07","G5","y","y","","bcparasite05_A12","westham4","49.0821167","-123.1545951"
"400","SD",8,"SD40","8_SD40",2022,"SD8_40_05","COAR","B. mixtus","B. mixtus","","mixtus_DNA_03","B5","y","y","","bcparasite05_A2","southdelta2","49.0664297","-123.0753682"
"401","HR",2,"HR29","2_HR29",2022,"HR2_29_01","RAAC","B. mixtus","B. mixtus","","mixtus_DNA_01","H4","y","n","","bcparasite05_A3","harvieroad4","49.1482013","-122.7015327"
"402","HR",9,"HR20A","9_HR20A",2022,"HR9_20A_03","ERHU","B. impatiens","B. impatiens","","impatiens_DNA_08","H7","y","y","","bcparasite05_A4","harvieroad1","49.1607689","-122.7016926"
"403","ED",7,"ED01","7_ED01",2022,"ED7_01_01","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_09","A1","y","y","","bcparasite05_A5","eastdelta3","49.0954133","-122.9487118"
"404","HR",8,"HR10","8_HR10",2022,"HR8_10_01","flying","B. impatiens","B. impatiens","","impatiens_DNA_09","A3","y","n","","bcparasite05_A6","harvieroad2","49.1588394","-122.7276809"
"405","ED",5,"ED15","5_ED15",2022,"ED5_15_03","SOAR","B. mixtus","B. mixtus","","mixtus_DNA_07","C9","y","y","","bcparasite05_A7","eastdelta3","49.0918464","-122.9461469"
"406","HR",5,"HR19A","5_HR19A",2022,"HR5_19A_05","SYOF","B. mixtus","B. flavifrons","","","","y","y","","bcparasite05_A8","harvieroad1","49.1578943","-122.7080699"
"407","PM",6,"PM65","6_PM65",2022,"PM6_65_03","CHAN","B. mixtus","B. mixtus","","mixtus_DNA_03","E7","y","n","","bcparasite05_A9","pittmeadows2","49.2547515","-122.6556663"
"408","ED",8,"ED28A","8_ED28A",2022,"ED8_28A_01","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","G8","y","y","","bcparasite05_B1","eastdelta1","49.1007889","-122.9346452"
"409","ED",6,"ED28A","6_ED28A",2022,"ED6_28A_01","VICR","B. impatiens","B. impatiens","","impatiens_DNA_09","B6","y","y","","bcparasite05_B10","eastdelta1","49.1007889","-122.9346452"
"410","W",3,"W25","3_W25",2022,"W3_25_01","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_06","B6","y","y","","bcparasite05_B11","westham2","49.09466","-123.15417"
"411","W",5,"W18","5_W18",2022,"W5_18_02","VEVI","B. flavifrons","B. mixtus","","mixtus_DNA_07","E11","y","y","","bcparasite05_B12","westham4","49.0821167","-123.1545951"
"412","SD",9,"SD22","9_SD22",2022,"SD9_22_01","HYRA","B. mixtus","B. mixtus","","mixtus_DNA_05","F1","y","","","bcparasite05_B2","southdelta1","49.0684855","-123.0576856"
"413","SD",9,"SD36","9_SD36",2022,"SD9_36_03","VICR","B. mixtus","B. mixtus","","mixtus_DNA_05","F6","y","n","","bcparasite05_B3","southdelta3","49.0597409","-123.0816311"
"414","HR",9,"HR03","9_HR03",2022,"HR9_03_01","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","H8","y","y","","bcparasite05_B4","harvieroad3","49.1515935","-122.7194854"
"415","W",8,"W17","8_W17",2022,"W8_17_01","SPDO","B. impatiens","B. impatiens","","impatiens_DNA_09","A2","y","n","","bcparasite05_B5","westham4","49.0785706","-123.1520317"
"416","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_02","RARA","B. impatiens","B. impatiens","","impatiens_DNA_09","A4","y","y","","bcparasite05_B6","eastdelta1","49.1046683","-122.9321746"
"417","ED",9,"ED20A","9_ED20A",2022,"ED9_20A_02","VICR","B. mixtus","B. mixtus","","mixtus_DNA_06","A7","y","y","","bcparasite05_B7","eastdelta1","49.1046332","-122.9294281"
"418","HR",7,"HR10","7_HR10",2022,"HR7_10_09","LASY","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite05_B8","harvieroad2","49.1588394","-122.7276809"
"419","SD",8,"SD25","8_SD25",2022,"SD8_25_01","SOAR","B. mixtus","B. mixtus","","mixtus_DNA_02","H3","y","n","","bcparasite05_B9","southdelta4","49.058024","-123.0639996"
"420","HR",8,"HR11","8_HR11",2022,"HR8_11_02","GABI","B. californicus","B. californicus","","","","y","y","","bcparasite05_C1","harvieroad2","49.1627115","-122.7235836"
"421","NR",8,"NR25","8_NR25",2022,"NR8_25_01","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_09","B7","y","y","","bcparasite05_C10","nicomekl3","49.0746575","-122.7756397"
"422","ED",4,"ED10","4_ED10",2022,"ED4_10_03","RUAR","B. mixtus","B. mixtus","","mixtus_DNA_01","D12","y","y","","bcparasite05_C11","eastdelta2","49.1053113","-122.9572629"
"423","W",3,"W01","3_W01",2022,"W3_01_02","RASA","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_C12","westham3","49.0878415","-123.1662845"
"424","ED",10,"ED32","10_ED32",2022,"ED10_32_01","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","G9","n","y","","bcparasite05_C2","eastdelta4","49.0910852","-122.9303897"
"425","HR",3,"HR11","3_HR11",2022,"HR3_11_04","VISA","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_C3","harvieroad2","49.1627115","-122.7235836"
"426","ED",6,"ED22A","6_ED22A",2022,"ED6_22A_02","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","H9","y","y","","bcparasite05_C4","eastdelta2","49.1028989","-122.9460592"
"427","HR",3,"HR19A","3_HR19A",2022,"HR3_19A_09","TRME","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite05_C5","harvieroad1","49.1578943","-122.7080699"
"428","HR",8,"HR19A","8_HR19A",2022,"HR8_19A_02","TRME","B. impatiens","B. impatiens","","impatiens_DNA_09","A5","y","y","","bcparasite05_C6","harvieroad1","49.1578943","-122.7080699"
"429","SD",4,"SD40","4_SD40",2022,"SD4_40_06","LUPO","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_C7","southdelta2","49.0664297","-123.0753682"
"430","NR",6,"NR43","6_NR43",2022,"NR6_43_03","nest","B. impatiens","B. impatiens","","impatiens_DNA_09","B1","y","y","","bcparasite05_C8","nicomekl2","49.0834488","-122.776728"
"431","PM",2,"PM51","2_PM51",2022,"PM2_51_07","VACO","B. mixtus","B. mixtus","","mixtus_DNA_06","G1","y","n","","bcparasite05_C9","pittmeadows3","49.2454815","-122.6549218"
"432","HR",3,"HR32","3_HR32",2022,"HR3_32_08","SYOF","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite05_D1","harvieroad3","49.147953","-122.7201041"
"433","NR",3,"NR29","3_NR29",2022,"NR3_29_11","RUAR","B. impatiens","B. impatiens","","impatiens_DNA_09","B8","y","n","","bcparasite05_D10","nicomekl4","49.0749252","-122.7620714"
"434","W",6,"W18","6_W18",2022,"W6_18_02","VEVI","B. mixtus","B. mixtus","","mixtus_DNA_07","H5","y","y","","bcparasite05_D11","westham4","49.0821167","-123.1545951"
"435","SD",4,"SD24","4_SD24",2022,"SD4_24_01","RUAR","B. impatiens","B. impatiens","","impatiens_DNA_09","B9","y","y","","bcparasite05_D12","southdelta1","49.0659931","-123.0585976"
"436","NR",9,"NR05A","9_NR05A",2022,"NR9_05A_04","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_08","G10","n","y","","bcparasite05_D2","nicomekl1","49.0858886","-122.7602928"
"437","W",7,"W02","7_W02",2022,"W7_02_01","MAMO","B. mixtus","B. mixtus","","mixtus_DNA_03","E6","y","y","","bcparasite05_D3","westham3","49.0898095","-123.1642782"
"438","ED",8,"ED20A","8_ED20A",2022,"ED8_20A_02","SPDO","B. impatiens","B. impatiens","","impatiens_DNA_08","H10","y","y","","bcparasite05_D4","eastdelta1","49.1046332","-122.9294281"
"439","HR",3,"HR12","3_HR12",2022,"HR3_12_02","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_D5","harvieroad2","49.1590772","-122.7236265"
"440","NR",7,"NR29","7_NR29",2022,"NR7_29_02","VICR","B. impatiens","B. impatiens","","impatiens_DNA_09","A6","n","y","","bcparasite05_D6","nicomekl4","49.0749252","-122.7620714"
"441","HR",8,"HR10","8_HR10",2022,"HR8_10_04","TAVU","B. impatiens","B. rufocinctus","","","","y","n","","bcparasite05_D7","harvieroad2","49.1588394","-122.7276809"
"442","HR",10,"HR07A","10_HR07A",2022,"HR10_07A_01","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_09","B2","y","y","","bcparasite05_D8","harvieroad3","49.1534589","-122.7224307"
"443","W",8,"W18","8_W18",2022,"W8_18_01","BIAM","B. mixtus","B. mixtus","","mixtus_DNA_02","D11","y","n","","bcparasite05_D9","westham4","49.0821167","-123.1545951"
"444","PM",3,"PM51","3_PM51",2022,"PM3_51_01","VACO","B. mixtus","B. mixtus","","mixtus_DNA_09","A11","y","y","","bcparasite05_E1","pittmeadows3","49.2454815","-122.6549218"
"445","HR",2,"HR19A","2_HR19A",2022,"HR2_19A_02","SYOF","B. flavifrons","B. flavifrons","","","","n","y","","bcparasite05_E10","harvieroad1","49.1578943","-122.7080699"
"446","SD",8,"SD39","8_SD39",2022,"SD8_39_07","PHTA","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite05_E11","southdelta2","49.0682854","-123.0740915"
"447","SD",10,"SD30","10_SD30",2022,"SD10_30_09","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_09","B10","y","y","","bcparasite05_E12","southdelta4","49.0566301","-123.0652652"
"448","ED",6,"ED22B","6_ED22B",2022,"ED6_22B_01","VICR","B. impatiens","B. impatiens","","impatiens_DNA_08","G11","y","y","","bcparasite05_E2","eastdelta2","49.1046204","-122.9460145"
"449","PM",1,"PM19","1_PM19",2022,"PM1_19_04","LUPO","B. mixtus","B. mixtus","queen","mixtus_DNA_02","C1","y","y","","bcparasite05_E3","pittmeadows4","49.2471037","-122.6399986"
"450","HR",8,"HR10","8_HR10",2022,"HR8_10_07","LASY","B. vosnesenskii","B. vosnesenskii","","","","y","n","","bcparasite05_E4","harvieroad2","49.1588394","-122.7276809"
"451","SD",7,"SD26","7_SD26",2022,"SD7_26_03","TRHY","B. mixtus","B. mixtus","","mixtus_DNA_06","E8","y","y","","bcparasite05_E5","southdelta4","49.0584528","-123.0671996"
"452","PM",1,"PM19","1_PM19",2022,"PM1_19_01","LUPO","B. mixtus","B. mixtus","","mixtus_DNA_02","A10","y","y","","bcparasite05_E6","pittmeadows4","49.2471037","-122.6399986"
"453","PM",9,"PM54A","9_PM54A",2022,"PM9_54A_01","RORU","B. impatiens","B. impatiens","","impatiens_DNA_09","A7","n","y","","bcparasite05_E7","pittmeadows3","49.2423594","-122.6557711"
"454","SD",6,"SD39","6_SD39",2022,"SD6_39_05","PHTA","B. mixtus","B. mixtus","","mixtus_DNA_07","E9","y","y","","bcparasite05_E8","southdelta2","49.0682854","-123.0740915"
"455","ED",8,"ED04","8_ED04",2022,"ED8_04_02","TAVU","B. impatiens","B. impatiens","","impatiens_DNA_09","B3","n","y","","bcparasite05_E9","eastdelta3","49.0927295","-122.9514265"
"456","ED",9,"ED20A","9_ED20A",2022,"ED9_20A_06","VICR","B. mixtus","B. mixtus","","mixtus_DNA_06","B2","y","y","","bcparasite05_F1","eastdelta1","49.1046332","-122.9294281"
"457","SD",7,"SD37","7_SD37",2022,"SD7_37_03","VICR","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite05_F10","southdelta4","49.0602593","-123.058988"
"458","HR",1,"HR14","1_HR14",2022,"HR1_14_01","CEFO","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_F11","harvieroad2","49.1589819","-122.7208294"
"459","W",6,"W16","6_W16",2022,"W6_16_01","CIAR","B. impatiens","B. impatiens","","impatiens_DNA_09","B11","y","y","","bcparasite05_F12","westham4","49.080608","-123.1570558"
"460","W",5,"W16","5_W16",2022,"W5_16_01","CIAR","B. impatiens","B. impatiens","","impatiens_DNA_08","G12","y","y","","bcparasite05_F2","westham4","49.080608","-123.1570558"
"461","HR",5,"HR12C","5_HR12C",2022,"HR5_12C_02","GABI","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite05_F3","harvieroad2","49.1604103","-122.7221135"
"462","HR",5,"HR19A","5_HR19A",2022,"HR5_19A_10","TRME","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite05_F4","harvieroad1","49.1578943","-122.7080699"
