"","site","round","sample_pt","sample_id","year","barcode_id","active_flower","pre_id","final_id","notes","plate","well","microcentrifuge","pollen","natalia_pollen","gut_plate","subsite","lat","long"
"217","NR",4,"NR43","4_NR43",2022,"NR4_43_02","LUPO","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite03_A5","nicomekl2","49.0834488","-122.776728"
"218","HR",8,"HR07A","8_HR07A",2022,"HR8_07A_01","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_08","B7","y","y","all","bcparasite03_A6","harvieroad3","49.1534589","-122.7224307"
"219","ED",10,"ED21A","10_ED21A",2022,"ED10_21A_01","RULA","B. impatiens","B. impatiens","","impatiens_DNA_08","B11","y","y","","bcparasite03_A7","eastdelta1","49.1046683","-122.9321746"
"220","HR",8,"HR07A","8_HR07A",2022,"HR8_07A_06","IMGL","B. impatiens","B. impatiens","","impatiens_DNA_08","C4","y","y","half","bcparasite03_A8","harvieroad3","49.1534589","-122.7224307"
"221","SD",10,"SD13","10_SD13",2022,"SD10_13_01","flying","B. mixtus","B. mixtus","","mixtus_DNA_06","H7","y","y","","bcparasite03_A9","southdelta2","49.0671224","-123.0772778"
"222","SD",3,"SD30","3_SD30",2022,"SD3_30_01","VISA","B. mixtus","B. mixtus","queen","mixtus_DNA_04","D9","y","n","","bcparasite03_B1","southdelta4","49.0566301","-123.0652652"
"223","W",8,"W25","8_W25",2022,"W8_25_02","TRRE","B. mixtus","B. mixtus","","mixtus_DNA_02","E5","y","n","","bcparasite03_B10","westham2","49.09466","-123.15417"
"224","HR",9,"HR20A","9_HR20A",2022,"HR9_20A_05","ERHU","B. impatiens","B. impatiens","","impatiens_DNA_08","D4","y","y","","bcparasite03_B11","harvieroad1","49.1607689","-122.7016926"
"225","HR",4,"HR19A","4_HR19A",2022,"HR4_19A_11","VICR","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_B12","harvieroad1","49.1578943","-122.7080699"
"226","SD",10,"SD19","10_SD19",2022,"SD10_19_01","TRRE","B. impatiens","B. impatiens","","impatiens_DNA_08","A2","y","y","","bcparasite03_B2","southdelta1","49.0661604","-123.0667177"
"227","NR",4,"NR43","4_NR43",2022,"NR4_43_07","LUPO","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite03_B3","nicomekl2","49.0834488","-122.776728"
"228","NR",9,"NR14A","9_NR14A",2022,"NR9_14A_04","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_09","F8","y","y","","bcparasite03_B4","nicomekl4","49.0803908","-122.7595179"
"229","ED",5,"ED28A","5_ED28A",2022,"ED5_28A_03","VICR","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite03_B5","eastdelta1","49.1007889","-122.9346452"
"230","HR",8,"HR26","8_HR26",2022,"HR8_26_01","SODU","B. impatiens","B. impatiens","","impatiens_DNA_08","B8","y","y","half","bcparasite03_B6","harvieroad1","49.1592195","-122.7127155"
"231","ED",3,"ED12","3_ED12",2022,"ED3_12_01","RONU","B. impatiens","B. impatiens","","impatiens_DNA_08","B12","y","y","","bcparasite03_B7","eastdelta4","49.0941941","-122.9295817"
"232","PM",9,"PM61","9_PM61",2022,"PM9_61_03","HYRA","B. impatiens","B. impatiens","","impatiens_DNA_08","C5","y","y","","bcparasite03_B8","pittmeadows2","49.2545201","-122.6668191"
"233","PM",4,"PM49","4_PM49",2022,"PM4_49_02","SYAL","B. mixtus","B. mixtus","","mixtus_DNA_07","B10","y","y","","bcparasite03_B9","pittmeadows4","49.2474187","-122.6406256"
"234","SD",8,"SD26","8_SD26",2022,"SD8_26_01","TRHY","B. impatiens","B. impatiens","","impatiens_DNA_07","H9","y","n","","bcparasite03_C1","southdelta4","49.0584528","-123.0671996"
"235","PM",1,"PM13A","1_PM13A",2022,"PM1_13A_01","RUSP","B. mixtus","B. mixtus","","mixtus_DNA_02","B9","y","y","","bcparasite03_C10","pittmeadows3","49.2422455","-122.6603344"
"236","W",2,"W32","2_W32",2022,"W2_32_03","RASA","B. flavifrons","B. flavifrons","","","","y","n","","bcparasite03_C11","westham3","49.0861264","-123.1586962"
"237","SD",9,"SD24","9_SD24",2022,"SD9_24_06","LASY","B. impatiens","B. impatiens","","impatiens_DNA_08","D5","y","n","","bcparasite03_C12","southdelta1","49.0659931","-123.0585976"
"238","NR",5,"NR14A","5_NR14A",2022,"NR5_14A_01","TRME","B. vosnesenskii","B. vosnesenskii","","","","y","y","","bcparasite03_C2","nicomekl4","49.0803908","-122.7595179"
"239","W",3,"W26","3_W26",2022,"W3_26_01","TRAR","B. mixtus","B. mixtus","","mixtus_DNA_01","H8","y","n","","bcparasite03_C3","westham2","49.0997928","-123.1571369"
"240","SD",9,"SD37","9_SD37",2022,"SD9_37_03","VICR","B. californicus","B. californicus","","","","y","n","","bcparasite03_C4","southdelta4","49.0602593","-123.058988"
"241","ED",6,"ED06","6_ED06",2022,"ED6_06_04","CHAN","B. mixtus","B. mixtus","","mixtus_DNA_04","H6","y","n","","bcparasite03_C5","eastdelta3","49.0937503","-122.9571174"
"242","HR",3,"HR23","3_HR23",2022,"HR3_23_06","SPJA","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_C6","harvieroad4","49.1518644","-122.70223"
"243","NR",6,"NR01","6_NR01",2022,"NR6_01_03","CHAN","B. impatiens","B. impatiens","","impatiens_DNA_08","C1","y","n","","bcparasite03_C7","nicomekl2","49.089725","-122.7790482"
"244","HR",3,"HR32","3_HR32",2022,"HR3_32_01","SYOF","B. mixtus","B. flavifrons","","","","y","n","","bcparasite03_C8","harvieroad3","49.147953","-122.7201041"
"245","HR",1,"HR03","1_HR03",2022,"HR1_03_05","LAPU","B. flavifrons","B. flavifrons","","","","y","y","","bcparasite03_C9","harvieroad3","49.1515935","-122.7194854"
