"","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS","Pgt0","Plt0","Pgt0Stars","Plt0Stars"
"Intercept",-0.49,0.44,-1.37,0.35,1,5624.26,6891.7,0.13,0.87,"ns","ns"
"final_idBombus_flavifrons",-2.26,0.59,-3.44,-1.11,1,6140.05,7280.78,0,1,"***","ns"
"final_idBombus_impatiens",-4.55,0.86,-6.41,-3.03,1,4749.94,6101.36,0,1,"***","ns"
"final_idBombus_mixtus",-2.05,0.5,-3.03,-1.05,1,5529.58,7681.8,0,1,"***","ns"
"final_idBombus_rufocinctus",-2.3,0.76,-3.88,-0.88,1,6047.6,7082.16,0,1,"***","ns"
"final_idBombus_vosnesenskii",-3.68,1.19,-6.38,-1.74,1,6560.8,6324.79,0,1,"***","ns"
